16_2023-01-31	date	251	RSV-B
10_2022-12-19	date	251	RSV-B
10_2023-01-02	date	251	RSV-B
16_2023-01-02	date	251	RSV-B
16_2022-12-27	date	251	RSV-B
10_2022-11-19	date	251	RSV-B
10_2023-01-07	date	251	RSV-B
16_2022-11-14	date	251	RSV-B
10_2022-12-26	date	251	RSV-B
10_2023-01-29	date	251	RSV-B
16_2022-11-06	date	251	RSV-B
10_2023-01-22	date	251	RSV-B
16_2023-01-16	date	251	RSV-B
16_2022-11-21	date	251	RSV-B
16_2022-12-06	date	251	RSV-B
16_2022-12-01	date	251	RSV-B
16_2023-01-24	date	251	RSV-B
10_2022-11-06	date	251	RSV-B
10_2022-12-03	date	251	RSV-B
10_2022-11-22	date	251	RSV-B
16_2022-11-08	date	251	RSV-B
10_2022-12-06	date	251	RSV-B
16_2022-12-13	date	251	RSV-B
16_2022-12-20	date	251	RSV-B
10_2022-12-12	date	251	RSV-B
10_2022-11-13	date	251	RSV-B
16_2023-01-10	date	251	RSV-B
10_2023-01-12_3x	date	251	RSV-B
